,benchmark_id,size,models,total_pairs,close_pairs,no_solve,tau-,SE(A),SE_x(A),SE_pred(A),SE(A-B),SE_x(A-B),SE_pred(A-B),SE_signtest,"corr(A,B)",sum(A!=B)
0,swebench-pro,731,150,22350,22310,285,131,"{'count': 150.0, 'mean': 0.016404967294155266, 'std': 0.00032923825543223584, 'min': 0.015046433470247221, '25%': 0.016318843411331788, '50%': 0.016468068496250245, '75%': 0.016608557923295426, 'max': 0.01711402379083813}","{'count': 72.0, 'mean': 0.01274231254973695, 'std': 0.00030761004787593324, 'min': 0.011683952260995499, '25%': 0.012618006813097308, '50%': 0.012829065701875236, '75%': 0.012909817720031158, 'max': 0.013286157116729045}","{'count': 72.0, 'mean': 0.010362234744194386, 'std': 0.00019684882616625152, 'min': 0.010015324332543435, '25%': 0.010227948367999312, '50%': 0.010319027176824137, '75%': 0.010467571933966727, 'max': 0.010986578935847476}","{'count': 22310.0, 'mean': 0.014866086695784512, 'std': 0.0005594284675276788, 'min': 0.012114471961210377, '25%': 0.014617458403422788, '50%': 0.01492085425458952, '75%': 0.015217127027921027, 'max': 0.016657834491085707}","{'count': 5112.0, 'mean': 0.0024615396436324572, 'std': 0.0015779539891350872, 'min': 0.0, '25%': 0.0011426764194882788, '50%': 0.0029330671585548456, '75%': 0.003752180619454861, 'max': 0.005387874117251119}","{'count': 5112.0, 'mean': 0.014655725570746346, 'std': 0.00019482236578953984, 'min': 0.014183612416776827, '25%': 0.014516162402059983, '50%': 0.014638122133401297, '75%': 0.014771748275450714, 'max': 0.015446771259420268}","{'count': 22310.0, 'mean': 0.01488960879033384, 'std': 0.0005655131771971764, 'min': 0.012120413917010499, '25%': 0.014641956946932587, '50%': 0.014945554346098674, '75%': 0.015233281430451497, 'max': 0.016698434494847748}","{'count': 22310.0, 'mean': 0.7142078761735977, 'std': 0.10525753646211705, 'min': 0.4730337668051868, '25%': 0.6313521070396394, '50%': 0.7081680948534522, '75%': 0.8174019934911485, 'max': 0.9861678378094213}","{'count': 22310.0, 'mean': 118.6389578664276, 'std': 8.81622972724909, 'min': 78.5, '25%': 114.56, '50%': 119.36000000000001, '75%': 124.0, 'max': 149.0}"
1,swebench-verified,500,150,22350,22342,98,119,"{'count': 150.0, 'mean': 0.022327591590008574, 'std': 4.977860155644298e-05, 'min': 0.022042867327096993, '25%': 0.02232066127573533, '50%': 0.022346185356789647, '75%': 0.022358147172767802, 'max': 0.022360679774997897}","{'count': 72.0, 'mean': 0.01799177407540344, 'std': 0.0002794326398239021, 'min': 0.017301782567122958, '25%': 0.017794845913401938, '50%': 0.01797759604831703, '75%': 0.01819057719335365, 'max': 0.018713631395322502}","{'count': 72.0, 'mean': 0.013226553743827226, 'std': 0.0003676318665171109, 'min': 0.012165525060596441, '25%': 0.012911233673897186, '50%': 0.013274032667064398, '75%': 0.013498141928655144, 'max': 0.014099645385611653}","{'count': 22342.0, 'mean': 0.018794498236642296, 'std': 0.0007652135486445405, 'min': 0.014586569164817334, '25%': 0.018434498094605126, '50%': 0.018866054171447724, '75%': 0.019253733144488402, 'max': 0.02180256865600932}","{'count': 5112.0, 'mean': 0.002171716294459513, 'std': 0.0016819325470966559, 'min': 0.0, '25%': 0.0, '50%': 0.002400533006672868, '75%': 0.00357012041049917, 'max': 0.005837149989506864}","{'count': 5112.0, 'mean': 0.01870879882332513, 'std': 0.00036176261460273856, 'min': 0.01735511451993331, '25%': 0.018471599822430105, '50%': 0.018726095873584186, '75%': 0.01896312210581369, 'max': 0.019738287666360523}","{'count': 22342.0, 'mean': 0.018834313179438247, 'std': 0.0007842889188953869, 'min': 0.014587666023048375, '25%': 0.01846076921474292, '50%': 0.018893385085791272, '75%': 0.01928730152198591, 'max': 0.021817424229271427}","{'count': 22342.0, 'mean': 0.7603226949843439, 'std': 0.0949550203440088, 'min': 0.5173123527266312, '25%': 0.688185694437034, '50%': 0.7561216822703445, '75%': 0.8398984660455378, 'max': 0.9892334351135922}","{'count': 22342.0, 'mean': 88.83660862948706, 'std': 7.276697605813727, 'min': 53.2, '25%': 85.19999999999999, '50%': 89.24000000000001, '75%': 93.0, 'max': 119.0}"
