,benchmark_id,size,models,total_pairs,close_pairs,no_solve,tau-,SE(A),SE_x(A),SE_pred(A),SE(A-B),SE_x(A-B),SE_pred(A-B),SE_signtest,"corr(A,B)",sum(A!=B)
0,human_eval_plus,164,49,1060,986,10,2,"{'count': 44.0, 'mean': 0.03624313383951016, 'std': 0.0030590507053594278, 'min': 0.02685005846319702, '25%': 0.03458852360048538, '50%': 0.03741045291550307, '75%': 0.03878071909063599, 'max': 0.03904341550865079}","{'count': 44.0, 'mean': 0.02714660584776775, 'std': 0.004830750337880503, 'min': 0.0120281586247769, '25%': 0.02328564238634586, '50%': 0.02753327297418901, '75%': 0.030426042758364316, 'max': 0.03600120788622965}","{'count': 44.0, 'mean': 0.022911004107978906, 'std': 0.006239927027822576, 'min': 0.009314178242013017, '25%': 0.019677802741823208, '50%': 0.023090747885230575, '75%': 0.02893443017730564, 'max': 0.03185475256803829}","{'count': 986.0, 'mean': 0.042519380542915895, 'std': 0.004529249511247338, 'min': 0.028576737198897192, '25%': 0.03978935234874502, '50%': 0.04328674518929365, '75%': 0.04598042042507645, 'max': 0.050466699209008294}","{'count': 986.0, 'mean': 0.024391659992853674, 'std': 0.005054535737037965, 'min': 0.011944255098562388, '25%': 0.020766575060827536, '50%': 0.02420159238381926, '75%': 0.02786831871514065, 'max': 0.039133250181672415}","{'count': 986.0, 'mean': 0.03416944087116344, 'std': 0.0063565564537825464, 'min': 0.014098285753116802, '25%': 0.030035710125348402, '50%': 0.03490055924798127, '75%': 0.038806307964443496, 'max': 0.04488051088596103}","{'count': 986.0, 'mean': 0.04337284292327007, 'std': 0.004626791652615128, 'min': 0.02857741128901442, '25%': 0.04077226862706626, '50%': 0.0442937803498454, '75%': 0.046652314800184905, 'max': 0.05154688062101995}","{'count': 986.0, 'mean': 0.6148890464467708, 'std': 0.11230991630172252, 'min': 0.2788394194356584, '25%': 0.5375911843935597, '50%': 0.6187559626605876, '75%': 0.7000980763644731, 'max': 0.8953021571407144}","{'count': 986.0, 'mean': 51.17203355804565, 'std': 10.399243244860681, 'min': 21.965114254158124, '25%': 44.711315702480846, '50%': 52.76831074369071, '75%': 58.53748925629347, 'max': 71.4648479336746}"
1,aime2025_cot,30,50,2122,210,1,4,"{'count': 15.0, 'mean': 0.07033139633025177, 'std': 0.007916909390618348, 'min': 0.0566744376981428, '25%': 0.06703360714815707, '50%': 0.07087725477908972, '75%': 0.07713912929427226, 'max': 0.08066714173977454}","{'count': 15.0, 'mean': 0.05647721094488365, 'std': 0.009825655968393614, 'min': 0.038601540162394636, '25%': 0.05148453140178204, '50%': 0.057657555327105585, '75%': 0.06648317505395838, 'max': 0.06805257915006381}","{'count': 15.0, 'mean': 0.04138002840608201, 'std': 0.0037198616399876454, 'min': 0.03329421146857371, '25%': 0.04017689720937424, '50%': 0.04183232504990861, '75%': 0.043947648619775175, 'max': 0.04656486353940845}","{'count': 210.0, 'mean': 0.06840211824279877, 'std': 0.006064262224643303, 'min': 0.05582415628494092, '25%': 0.06291435406323331, '50%': 0.06859849415987722, '75%': 0.07285740441024395, 'max': 0.08225052918191036}","{'count': 210.0, 'mean': 0.03346287342316248, 'std': 0.012080468516851663, 'min': 0.007365438162778481, '25%': 0.02455581318340137, '50%': 0.03407636739704449, '75%': 0.04186470651736488, 'max': 0.05459473422364895}","{'count': 210.0, 'mean': 0.05864306199107352, 'std': 0.003389579811683594, 'min': 0.04803322922804038, '25%': 0.05638478302620256, '50%': 0.05910478035483059, '75%': 0.0611517715085915, 'max': 0.06466490235732487}","{'count': 210.0, 'mean': 0.0696097340744162, 'std': 0.006932373526618943, 'min': 0.05588913990814785, '25%': 0.06383114490390347, '50%': 0.06920608456578727, '75%': 0.07393284869199536, 'max': 0.08673049597402738}","{'count': 210.0, 'mean': 0.8186574744285102, 'std': 0.10979197850579082, 'min': 0.5846941570772827, '25%': 0.7552911535073706, '50%': 0.8158955377020235, '75%': 0.9195520995235437, 'max': 0.993602476223479}","{'count': 210.0, 'mean': 4.40400963054953, 'std': 0.8832420281890616, 'min': 2.811236363705273, '25%': 3.66697355376881, '50%': 4.310533926834209, '75%': 4.919459504142132, 'max': 6.769961038710701}"
2,math500_cot,500,48,836,372,2,6,"{'count': 40.0, 'mean': 0.019621096261798955, 'std': 0.0024811127959253965, 'min': 0.01367534698020048, '25%': 0.017731798519621807, '50%': 0.020522474187103713, '75%': 0.021914681754043427, 'max': 0.022358560577568735}","{'count': 40.0, 'mean': 0.014592771741429483, 'std': 0.00239594989157499, 'min': 0.00788445959537081, '25%': 0.013494340315971498, '50%': 0.014706102542572777, '75%': 0.016330828990491347, 'max': 0.01879645947884836}","{'count': 40.0, 'mean': 0.012995982998890671, 'std': 0.0019075608031980152, 'min': 0.009019819447036777, '25%': 0.011547449179576185, '50%': 0.012935130184710498, '75%': 0.014575901898290795, 'max': 0.01659964888556168}","{'count': 372.0, 'mean': 0.020660138039311694, 'std': 0.0023702064726998807, 'min': 0.015938189787187224, '25%': 0.018395513115360383, '50%': 0.021425196991515454, '75%': 0.02261358900644565, 'max': 0.024285733336605168}","{'count': 372.0, 'mean': 0.009363277529989002, 'std': 0.0018488837776971705, 'min': 0.004468120248221153, '25%': 0.008196434005773355, '50%': 0.00946830991106077, '75%': 0.010283900800865435, 'max': 0.015610133148262352}","{'count': 372.0, 'mean': 0.018307627517241635, 'std': 0.0024922689580109047, 'min': 0.013303913621551271, '25%': 0.01590627097693299, '50%': 0.01873975096193487, '75%': 0.02061512414523684, 'max': 0.02256742539352665}","{'count': 372.0, 'mean': 0.0208050608583939, 'std': 0.002394523144695031, 'min': 0.015938203846412976, '25%': 0.018667542095655937, '50%': 0.021604194259468648, '75%': 0.022738385355940152, 'max': 0.024536256188938493}","{'count': 372.0, 'mean': 0.7865948525482499, 'std': 0.1175517060207072, 'min': 0.15287742359614068, '25%': 0.7462906350582817, '50%': 0.8052932627548868, '75%': 0.8532733969285575, 'max': 0.9364760640699682}","{'count': 372.0, 'mean': 109.64222128236321, 'std': 24.348661840328504, 'min': 63.506585462453344, '25%': 87.11928197327163, '50%': 116.6853850350839, '75%': 129.25854214880837, 'max': 150.5069669423056}"
3,aime2024_cot,30,50,1884,196,1,0,"{'count': 15.0, 'mean': 0.0757661694796581, 'std': 0.00818885943883605, 'min': 0.06203941004723987, '25%': 0.07005473785555594, '50%': 0.07539013599196849, '75%': 0.08159950441301345, 'max': 0.08836831246000279}","{'count': 15.0, 'mean': 0.05698773502929669, 'std': 0.007239059416117086, 'min': 0.04353210067951137, '25%': 0.05131035117419325, '50%': 0.05795996524179318, '75%': 0.06139422731131123, 'max': 0.06764684749257824}","{'count': 15.0, 'mean': 0.049811732588453984, 'std': 0.005214505751915362, 'min': 0.04026657251349305, '25%': 0.04637818533461803, '50%': 0.04821115051580524, '75%': 0.0541537783666865, 'max': 0.05709879529387706}","{'count': 196.0, 'mean': 0.08048523791415714, 'std': 0.0072001479706911425, 'min': 0.061902571382190956, '25%': 0.0756942298141781, '50%': 0.08114096230097828, '75%': 0.0868548829943308, 'max': 0.09416279578035688}","{'count': 196.0, 'mean': 0.03740206932806244, 'std': 0.011278811601216698, 'min': 0.01153248089986577, '25%': 0.030235191995150384, '50%': 0.03776807281677273, '75%': 0.046924684444448875, 'max': 0.05665086542836745}","{'count': 196.0, 'mean': 0.07056274940807013, 'std': 0.004999975555085722, 'min': 0.059097284534838486, '25%': 0.06680094765559083, '50%': 0.07121764926157025, '75%': 0.07404558272257807, 'max': 0.08064779636298383}","{'count': 196.0, 'mean': 0.08214624388541801, 'std': 0.008102873408622323, 'min': 0.062168895222567105, '25%': 0.07684772899018162, '50%': 0.08244775558945598, '75%': 0.0883415506348469, 'max': 0.09986661444017188}","{'count': 196.0, 'mean': 0.7743442458997172, 'std': 0.1200734079601993, 'min': 0.5142527435483198, '25%': 0.6900164854658994, '50%': 0.7716210295991295, '75%': 0.8638364166281476, 'max': 0.9847991593680893}","{'count': 196.0, 'mean': 6.131994263570368, 'std': 1.1896738061373657, 'min': 3.478474379875075, '25%': 5.3150161058535605, '50%': 6.1178746730325235, '75%': 7.023806611712299, 'max': 8.976006611767751}"
